--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0CCG5S312.pdf
Heading Font Threshold: >= 10.0pt
Potential Heading Fonts: [24.0, 18.0, 16.0, 14.0, 12.0]
Noise Fonts: [6.0]
-------------------------------------------
Page 1   | Font: 24.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, LargeFont, VS_PASSED(A:172.8,B:110.8), IND_PASSED(Diff:136.3), F2_PASSED | Text: 'Foundation Level Extensions'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4.'
Page 4   | Font: 10.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:55.3), F2_PASSED | Text: 'References'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '12'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4.1'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Trademarks'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '12'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4.2'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Documents and Web Sites'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '............................................................'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '12'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 4 of 12'
Page 4   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 4   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 5   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Board'
Page 5   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:36.2,B:18.1), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'Acknowledgements'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'This document was produced by a team from the Internation...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Working Group.'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The Agile Extension team thanks the review team and the N...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'At the time the Foundation Level Agile Extension Syllabus...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Group had the following membership: Rex Black (Chair), Be...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Coleman (Learning Objectives Lead), Debra Friedenberg (Ex...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'and Marketing Lead), Tauhida Parveen (Editor), and Leo va...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertr...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and ...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Internal Reviewers: Mette Bruhn-Pedersen, Christopher Cle...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kollur...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Ma...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Robert Treffny, Chris Van Bael, and Erik van Veenendaal.'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The team thanks also the following persons, from the Nati...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'who participated in reviewing, commenting, and balloting ...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng C...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin,...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Lev...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Morgan,Ninna Morin,Ingvar Nordstrom,ChrisO’Dea,KlausOlsen...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombou...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucja...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Mar...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Z...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'This document was formally approved for release by the Ge...'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '2014.'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 5 of 12'
Page 5   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 5   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 6   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 6   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:50.2,B:5.5), IND_PASSED(Diff:0.0), F2_PASSED | Text: '1. Introduction to the Foundation Level Extensions'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'This overview document is intended for anyone with an int...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Extensions who wants a high-level introduction to the lea...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'extension syllabi.'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'From time to time, ISTQB will update this document to ref...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'introduced for the Foundation Level, or to reflect major ...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'updated document will be available on the ISTQB website.'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The ISTQB Foundation and Advanced Level syllabi have been...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'some time. New topics emerge due to technology and method...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'are brought into the ISTQB program as new Expert Level sy...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Expert Level. For this reason, the extension syllabi are ...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'ISTQB program to incorporate new or updated knowledge. Ne...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'introduced by the ISTQB periodically. Extensions may be e...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'that is beyond the scope of this document.'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The following Foundation Level Extension syllabus has bee...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: ''
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Agile Tester'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'In this document, each Foundation Level Extension syllabu...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Outcomes are stated. The Business Outcomes communicate wh...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'achieves a Foundation Level Extension Certification in a ...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'will outline the benefits for companies that are consider...'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'level.'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Version 2014'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Page 6 of 12'
Page 6   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'May 31, 2014'
Page 6   | Font: 6.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '© International Software Testing Qualifications Board'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'International'
Page 7   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, IND_PASSED(Diff:363.5), F2_PASSED | Text: 'Overview'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Software Testing'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level Extension –Agile Tester'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Qualifications Board'
Page 7   | Font: 16.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:50.2,B:5.5), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2. Introduction to Foundation Level Agile Tester Extension'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The certification for Foundation Level Extension –Agile T...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'working within Agile environments. It is also for profess...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Agile methods in the near future, or are working within c...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'provides an advantage for those who would like to know th...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'methodologies specific to their role.'
Page 7   | Font: 14.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:14.0,B:7.9), IND_PASSED(Diff:0.0), F2_PASSED | Text: '2.1 Intended Audience'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The Foundation Level Extension –Agile Tester qualificatio...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '1. Professionals who have achieved in-depth testing exper...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'like to get an Agile Tester Certificate.'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '2. Junior professional testers who are just starting in t...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Foundation Level certificate, and would like to know more...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'environment.'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '3. Professionals who are relatively new to testing and ar...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'methods and techniques in their day to day job in Agile p...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '4. Professionals who are experienced in their role (inclu...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'understanding and knowledge about how to perform and mana...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'projects.'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'These professionals include people who are in roles such ...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'consultants, test managers, user acceptance testers, and ...'
Page 7   | Font: 10.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'This Foundation Level Extension –Agile Tester certificati...'
