--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0H1CM114.pdf
Heading Font Threshold: >= 11.0pt
Potential Heading Fonts: [20.0, 16.0, 12.0]
Noise Fonts: [7.6]
-------------------------------------------
Page 1   | Font: 20.0 pt | Status: SKIPPED   | Filters: F1_PASSED, LargeFont, VS_FAILED(A:270.5,B:329.4), IND_FAILED(Diff:-146.6), F2_FAILED | Text: 'March 21, 2003'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'the financial plan for the first 2 operating years, inclu...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'revenues, etc.'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'a financial forecast for the succeeding 2 operating years'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'the services and products to be delivered by the ODL'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'how the ODL will operate and be managed following the imp...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'who will be involved, and what their role/responsibility ...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'implementation and operational stages'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'the marketing and communications plan for the ODL'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'This business plan must be completed and approved by the ...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'later than September 30, 2003'
Page 2   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:12.4,B:12.3), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'Timeline:'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Those firms/consultants intended to submit a proposal to ...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'intention to do so in an e-mail to Michael Ridley (mridle...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Proposals may be e-mailed, mailed, couriered or faxed to:...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '(lmoore@accessola.com), Executive Director, The Ontario L...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'St., Suite 303, Toronto, ON  M5C 1M3. Proposals must be r...'
Page 2   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:0.3,B:12.4), IND_PASSED(Diff:0.0), F2_PASSED | Text: 'April 21, 2003.'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Those proposals that are short-listed will be invited to ...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'of April 28, 2003. No presentation will be expected. Firm...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'interview will be expected to discuss the project and the...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'committee.'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Contracts with the firm/consultant will be signed the wee...'
Page 2   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'commence as soon as possible thereafter.'
Page 2   | Font: 9.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2'
Page 2   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'RFP: To Develop the Ontario Digital Library Business Plan'
Page 2   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'March 2003'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Please note that we reserve the right not to select any o...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'seek further response to these Terms of Reference.'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'If you require further information or have any questions,...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'mail (mridley@uoguelph.ca) only by 3:00 p.m. on Friday Ap...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'responses will be shared with those who have indicated th...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'proposal. Please note, that firms/consultants who have no...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Ridley by April 11th that they will be submitting a propo...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'information or question responses.'
Page 3   | Font: 12.0 pt | Status: CANDIDATE | Filters: F1_PASSED, LargeFont, VS_PASSED(A:21.1,B:16.1), IND_FAILED(Diff:-6.0), F2_PASSED | Text: 'Background'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'First, some background on the ODL. For the last two years...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'has acted as a catalyst, bringing together the stakeholde...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Digital Library (ODL). These stakeholders include Ontario...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'college, and school libraries, as well as Ontario governm...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Libraries that serve very different clientele recognize t...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'seamless access to quality electronic library services. T...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'able to explore a topic at school, use the same child-saf...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'home or at a public library), enter college or university...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'electronic resources that are still available and then, a...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'skills and resources at work or at home.'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We are moving into a period of convergence. With converge...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'commercial products as individual libraries or institutio...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'money wisely. The provincial government has made this pos...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'all Ontarians with a stable, high-speed communications in...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'great deal of work needed to improve this infrastructure,...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'best to exploit communications technology. We can reduce ...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'content infrastructure needed to support a knowledge soci...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The concept of an ODL is a key element in The Roadmap to ...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'envision and attain Ontario’s economic goal prepared by t...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Board. The OJIB strategic plan recommends an electronic l...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'workplaces, new sources of information and applied learni...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'that and much more. The ODL will connect students to elec...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'leverage this investment to help connect all citizens to ...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'they make decisions, solve problems and enhance their qua...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Libraries have long been a key delivery point for public ...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'delivery point to move closer to citizens, into the small...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'rooms.'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Libraries have a long tradition of using a practical, con...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'and of learning from others. The ODL is a very practical ...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Jurisdiction-wide digital libraries are very practical an...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'leading edge for Ontario but several jurisdictions have f...'
Page 3   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'digital libraries. We can learn from their experiences. F...'
Page 3   | Font: 9.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3'
Page 3   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'RFP: To Develop the Ontario Digital Library Business Plan'
Page 3   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'March 2003'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'was incorporated in 1997 as a province-wide library conso...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'with its members to promote universal access to materials...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'public, post-secondary, special, government and regional ...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'not include elementary or secondary schools. However, the...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'proposing for ODL is comparable to TAL‘s experience. TAL’...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'years. TAL’s implementation plan was supported by 8 milli...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'funding, spread over three years, later revised to 15 mil...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Alberta’s population 30% of Ontario’s, TAL does not inclu...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'schools as partners; it has 250 member libraries. ODL env...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '10,000,000 Ontarians, with more than 5000 Ontario librari...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'learn from TAL’s practices, the scope of planning and imp...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'TAL.'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The ODL will be a partnership-based organization providin...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'services and resources to the citizens of Ontario. It wil...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'common resources The ODL will recognize the unique respon...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'libraries, school libraries, college and university libra...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'envisions a digital network of information resources, all...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'there is mutual benefit and to support the common mandate...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The principles which will define and guide the ODL are:'
Page 4   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:12.3,B:12.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Equitable access for all Ontarians:'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will bring consistent, high-quality electronic resourc...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Ontario citizens'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will eliminate barriers to the access to information a...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'services for library clients.'
Page 4   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:12.3,B:12.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Shared decision-making and accountability:'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will facilitate consensus among members regarding ODL’...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'licenses and services'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will balance the interests and realities of small and ...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'communities and institutions.'
Page 4   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:12.3,B:12.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Shared governance structure:'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will share decision-making in order to enable the peop...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will work based on an underlying assumption of trust a...'
Page 4   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:12.3,B:12.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Shared funding:'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will leverage provincial, institutional, and local dol...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'and put Ontario dollars to work for everyone.'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will be willing to pool talents and dollars in order t...'
Page 4   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'truly greater than those that can be maintained by indivi...'
Page 4   | Font: 9.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4'
Page 4   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'RFP: To Develop the Ontario Digital Library Business Plan'
Page 4   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'March 2003'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:0.1,B:13.0), IND_PASSED(Diff:24.0), F2_PASSED | Text: 'Local points of entry:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'We will provide the licenses, infrastructure, services an...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'libraries to provide exceptional services to their client...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'providing the underpinning, not overshadowing.'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Services envisioned for the ODL’s include:'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:13.0,B:0.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Access:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to the “deep” web (i.e. Commercial, purchased electronic ...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to credible web sites and electronic resources'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to digital government information'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to local digital collections'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:13.0,B:0.3), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Guidance and Advice:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to support e-learning'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to support citizens, in real-time, as they try to use ele...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to assist citizens as they use web-links'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_FAILED(A:0.3,B:0.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Training:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'for library workers'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'for the general public'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:13.0,B:0.3), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Provincial Purchasing & Licensing:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'of electronic content on a consortia basis for all member...'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:13.0,B:0.4), IND_PASSED(Diff:18.0), F2_PASSED | Text: 'Technological Support:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'of common standards for the preservation and archiving lo...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'of a common interface to ODL resources and services that ...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'library web sites'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'What could the ODL really mean?'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:12.0,B:0.5), IND_PASSED(Diff:72.0), F2_PASSED | Text: 'For each Ontario citizen it could mean:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'One local point of entry to access seamless electronic li...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'resources for their personal, educational and professiona...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Access to credible, high-quality, user-friendly electroni...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'community, school, or academic library;'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Confidence that the electronic services and sources they ...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '– are using are safe, valid, and bringing them both globa...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'perspectives;'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Electronic information and tools that enhance job skills ...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'experience'
Page 5   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:12.2,B:0.5), IND_PASSED(Diff:72.0), F2_PASSED | Text: 'For each Ontario student it could mean:'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'One local point of entry to quality, curriculum- based el...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'resources and services'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Connection to their individual educational environment, w...'
Page 5   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'elementary, secondary or post-secondary levels'
Page 5   | Font: 9.0  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '5'
Page 5   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'RFP: To Develop the Ontario Digital Library Business Plan'
Page 5   | Font: 7.6  pt | Status: SKIPPED   | Filters: NOISE_FONT                     | Text: 'March 2003'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Confidence that the services and resources people are usi...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'available when they need them and adaptable to different ...'
Page 6   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:12.9,B:0.5), IND_PASSED(Diff:72.0), F2_PASSED | Text: 'For each Ontario library it could mean:'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'One point of entry for themselves and their clientele to ...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'resources and services that support and enhance their col...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'and services'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The opportunity to show case their local community, colle...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'expertise'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The opportunity to gain from the provincial, collaborativ...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to provide a seamless gateway to digital resources and se...'
Page 6   | Font: 11.0 pt | Status: CANDIDATE | Filters: F1_PASSED, Style, VS_PASSED(A:12.9,B:0.4), IND_PASSED(Diff:72.0), F2_PASSED | Text: 'For the Ontario government it could mean:'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'A point of entry to information services and resources fo...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'connecting to portal initiatives.'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Support of the Ontario E-Learning strategy through a coll...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'library initiative that positions Ontario on the global e...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Improved access and flexibility for all students at all a...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '(supports Ontario’s lifelong learning strategy)'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The opportunity to address emerging job skills shortages ...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'to work and job to job transitions with the necessary inf...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'knowledge supports and tools'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'ODL will be an incorporated non-profit organization gover...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'by a voting membership. The Board will include representa...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'envision a governance model similar to that prepared for ...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'More information regarding the envisioned phasing, fundin...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'ODL can be found in the appendixes.'
Page 6   | Font: 12.0 pt | Status: SKIPPED   | Filters: F1_PASSED, LargeFont, VS_FAILED(A:21.1,B:27.6), IND_FAILED(Diff:-6.0), F2_FAILED | Text: 'The Business Plan to be Developed'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'The business plan which needs to be developed for the ODL...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'that documents and clearly communicates the ODL’s service...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'structures, as well as implementation plans for 2004-2005...'
Page 6   | Font: 11.0 pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '2007. The planning process must also secure the full comm...'
