--- PHASE 2 LINE-BY-LINE PROCESSING LOG ---
Input PDF: E0CCG5S239.pdf
Heading Font Threshold: >= 9.7pt
Potential Heading Fonts: []
Noise Fonts: []
-------------------------------------------
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Date of entering the Central Government'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '9.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '(b) Block for which to be availed.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Single'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'rail'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'fare/bus'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'fare'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'from'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'the'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'headquarters to home town/place of visit by'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '10.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'shortest route.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Persons in respect of whom LTC is proposed to be availed.'
Page 1   | Font: 9.7  pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:115.4), F2_PASSED | Text: 'S.No'
Page 1   | Font: 9.7  pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:132.1), F2_PASSED | Text: 'Name'
Page 1   | Font: 9.7  pt | Status: CANDIDATE | Filters: F1_PASSED, Style, IND_PASSED(Diff:101.1), F2_PASSED | Text: 'Age'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_PASSED, Style, VS_FAILED(A:-11.8,B:0.4), IND_FAILED(Diff:-341.0), F2_FAILED | Text: 'Relationship'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '1.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '2.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '11.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '3.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '4.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '5.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: '6.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: '12. Amount of advance required.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'Rs.'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'I declare that the particulars furnished above are true a...'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'undertake to produce the tickets for the outward journey ...'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'In the event of cancellation of the journey or if I fail ...'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_FAILED                      | Text: 'advance, I undertake to refund the entire advance in one ...'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: CONTENT_FAILED                 | Text: 'Date'
Page 1   | Font: 9.7  pt | Status: SKIPPED   | Filters: F1_PASSED, Style, VS_FAILED(A:0.0,B:2.0), IND_N/A, F2_FAILED | Text: 'Signature of Government Servant.'
